user_id,location,Country,State,City
1162625238,Karachi'},Pakistan,,
993454242,"Karchi sindh',",Pakistan,,
1351483930667601922,"Kasoa, Ghana',",Ghana,,
15035209,"Kaukauna, WI',",USA,,
609289528,"Kelowna, British Columbia',",Canada,,
1276635852463058945,"Kempton Park, South Africa'}",South Africa,,
937756066221379585,"Kensington, London',",UK,,
2605958124,"Kensington, London',",UK,,
1545024715630288896,Kent Coast,UK,,
1461412110433406986,"Kentucky, USA',",USA,,
1407482015650361344,Kentucky'},USA,,
277997449,"kenya',",Kenya,,
287594979,"Kenya',",Kenya,,
814770191930458112,"Kenya',",Kenya,,
2603541862,"Kerry, Ireland'}",Ireland,,
1329127115317456897,"Kew Gardens Hills, Queens'}",USA,,
3170426002,"Kimberley, South Africa',",South Africa,,
1370702028125650945,"Kircubbin, Newtownards',",Ireland,,
797171522402140161,"Kirkville,  N.Y.',",USA,,
1442783542212059142,"Kiwi',",New Zealand,,
753238093579165700,"Klamath Falls, OR'}",USA,,
2710379976,"Knoxville, Tennessee USA',",USA,,
1578196533971148801,"Kolkata, India',",India,,
3151598514,"Kolkata, India',",India,,
1419239941704359940,"Kolkata,India',",India,,
265079836,"KTH, Sweden",Sweden,,
1246109849345294336,"Kumasi, Ghana',",Ghana,,
1307407841242877952,"kuwait',",Kuwait,,
18840896,"LA via NYC',",USA,,
759994712384217088,"lagos Nigeria',",Nigeria,,
2224934922,Lagos nigeria'},Nigeria,,
"3748292295'}""]","lagos-nigeria',",Nigeria,,
"1538284490304409600'}""]","Lagos, Nigeria.',",Nigeria,,
439927467,"Lagos, Nigeria',",Nigeria,,
765315176,"Lagos, Nigeria',",Nigeria,,
1481776266751758336,"Lagos, Nigeria',",Nigeria,,
1228667284664848391,"Lagos, Nigeria',",Nigeria,,
2786326915,"Lagos, Nigeria',",Nigeria,,
68655235,"Lagos, Nigeria',",Nigeria,,
1440601338224594946,"Lagos, Nigeria',",Nigeria,,
1226936266731728903,"Lagos, Nigeria',",Nigeria,,
1577898933870886914,"Lagos, Nigeria',",Nigeria,,
1230923775786573824,"Lagos, Nigeria',",Nigeria,,
1363916805794856964,"Lagos, Nigeria',",Nigeria,,
1570833157892571137,"Lagos, Nigeria'}",Nigeria,,
1168915182581686278,"Lagos, Nigeria'}",Nigeria,,
294514865,"Lagos',",Nigeria,,
826224919,"Lagos',",Nigeria,,
1596230824222932994,Lagos'},Nigeria,,
1259809114873647104,"Lahore, Pakistan',",Pakistan,,
1000595859178835968,"Lake Tapps, WA',",USA,,
1593789146367131649,"Lakeland, FL',",USA,,
1426712461,"Lamar Jacksonville',",USA,,
15445237,"Lancashire',",UK,,
336635626,Lancashire'},UK,,
5864232,"Lancaster, PA',",USA,,
614817844,"Lancaster, PA',",USA,,
1413221208603168773,"Land of Mary',",USA,,
1131960602560274433,"Larkana, Pakistan',",Pakistan,,
825795703351894017,"Las Vegas, NV',",USA,,
2565644791,"Las Vegas, NV',",USA,,
1484708410574589954,"Las Vegas, NV'}",USA,,
1228764977932177409,"Las Vegas, NV'}",USA,,
377776924,"Lasgidi',",Nigeria,,
1113693029347540992,"Latvia',",Latvia,,
1563182892955578370,"Lebanon, MO',",USA,,
113380026,"Lehigh Valley, PA',",USA,,
4327577173,"Lethbridge, Alberta',",Canada,,
1400593278509146115,"Lima, Peru',",Peru,,
2771164420,"Lincoln, Nebraska',",USA,,
"3339909250'}""]","Liverpool, England',",UK,,
44583239,"Liverpool',",UK,,
31396223,"London , and Surrey'}",Canada,,
1270648260277960704,"London / Surrey',",Canada,,
29447428,London-Wales-Roaming'},UK,,
"1087563633284894720'}""]","London, England',",UK,,
936638847991115781,"London, England',",UK,,
808557457,"London, England',",UK,,
1587467928886190081,"London, England',",UK,,
"1587467928886190081'}""]","London, England',",UK,,
1140763441138978821,"London, England',",UK,,
2823365823,"London, England',",UK,,
183862495,"London, Ontario, Canada',",Canada,,
2218432902,"London, UK'}",UK,,
401443455,"London',",UK,,
1628206670,"London',",UK,,
70658199,"London',",UK,,
549533741,"London',",UK,,
1165572223,"london',",UK,,
21285205,"London',",UK,,
1131317989,"London',",UK,,
1936853149,"london',",UK,,
1386120198802092032,"Lorain, OH',",USA,,
164593620,"Los Angeles, CA ☀️🌴',",USA,,
"750380394256539649'}""]","Los Angeles, CA',",USA,,
1312401872,"Los Angeles, CA',",USA,,
1065856542191173632,"Los Angeles, CA',",USA,,
748341276043579394,"Los Angeles, CA',",USA,,
1076562283407593473,"Los Angeles, CA',",USA,,
1037154687454142464,"Los Angeles, CA',",USA,,
1546424308121145344,"Los Angeles, CA'}",USA,,
20333606,"Los Angeles',",USA,,
22560367,Los Angeles'},USA,,
1393462575539519490,"Louisville, KY',",USA,,
294371597,"Louisville, KY',",USA,,
268739173,"Lubbeek',",Belgium,,
1213496811454779392,Ludwigsburg,Germany,,
979399941469728768,"Lutherville, MD',",USA,,
2786134888,"Luxembourg',",Luxembourg,,
296367776,"Madison, Wi',",USA,,
2672717805,"Madrid, Comunidad de Madrid',",Spain,,
1027636374692917254,"Madrid, Espagne',",Spain,,
506065984,Madrid'},Spain,,
821650201,Madrid'},Spain,,
1496118616705671172,"Maidenhead, South East, UK',",UK,,
"1252904829191675905'}""]","MAKERERE,UGANDA',",Uganda,,
1247809673069121541,"Malacca, Malaisie',",Malaysia,,
1596961726100115456,"Maldives',",Maldives,,
104490861,"Manchester, England',",UK,,
1018242338278256640,"Manchester, England',",UK,,
1326862794,"Manchester, England',",UK,,
1101485903518859264,"Mandi Bahauddin, Pakistan',",Pakistan,,
459578223,"Manhattan, NY',",USA,,
1313516442155913217,"Manhattan, NY',",USA,,
857023663,"Marseille',",France,,
"49708595'}""]","martinsville',",USA,,
333804597,Maryland,USA,,
1512914695484854273,"Maryland, USA',",USA,,
715645409759207424,"Maryland, USA',",USA,,
3288349349,"Massachusetts, USA',",USA,,
1283613212647329792,"Massachusetts, USA'}",USA,,
3378739617,"Massachusetts',",USA,,
1376528816408039427,"Maybe Pakistan?',",Pakistan,,
10451462,"Melbourne / Naarm',",Austalia,,
1191855827667128320,"Melbourne, Victoria, Australia',",Austalia,,
"1103569408893415425'}""]","Melbourne, Victoria',",Austalia,,
762479876431425540,"Mesa, AZ',",USA,,
3275065968,"Mesa, AZ',",USA,,
16871799,"Metro Atlanta',",USA,,
518860835,México,Mexico,,
9.59827E+17,"Mexico',",Mexico,,
61658565,"mi',",USA,,
208375283,"Miami Beach, FL',",USA,,
"120769030'}""]","Miami, FL',",USA,,
596016620,"Miami, FL',",USA,,
