,user_id,location
547,"[""1009932824932122624',""]","Kitsune Empire',"
548,"[""1474339206629576707',""]",هرات
549,"[""1592536593822277633',""]","Pasentiz',"
550,"[""954411477145980929',""]","Atlanta, GA',"
551,"[""740612361132871681',""]",
552,"[""1594733551676788737',""]",
553,"[""1556579346525179904',""]",Tlgray @Tdf
554,"[""1502416369706491911',""]",
555,"[""817013658962325504',""]","England, UK',"
556,"[""1193607862632800256',""]",
557,"[""818885677651791872',""]",
558,"[""1590242461426802688',""]","Athens, Greece',"
559,"[""497466305',""]",
560,"[""1586755607595474949',""]",
561,"[""3238426689',""]","Borno, Nigeria',"
562,"[""108975367',""]","Pennsylvania',"
563,"[""3339174444',""]","Vancouver, Canada',"
564,"[""976226772235665408',""]",
565,"[""4718965428',""]",
566,"[""1270325933581492224',""]",
567,"[""1315170773699563522',""]",
568,"[""1200942270704427011',""]","Karachi, Pakistan',"
569,"[""183862495',""]","London, Ontario, Canada',"
570,"[""1467553255043522563',""]","Nawabshah, Pakistan',"
571,"[""978990867028455424',""]","Turan',"
572,"[""396773698',""]","Berlin, Allemagne',"
573,"[""351013017',""]","Toronto, Ontario',"
574,"[""108033897',""]","Monroe County, Indiana',"
575,"[""22999012',""]","Hamilton, Ontario, Canada',"
576,"[""2929465251',""]","Hong Kong',"
577,"[""1883235474',""]",
578,"[""1419073723840311302',""]","Ontario, Canada',"
579,"[""1401850872536211458',""]",
580,"[""1331032772429946885',""]","Hangzhou | Zhejiang | PRC 🇨🇳',"
581,"[""1309872518421975041',""]",
582,"[""229148328',""]",
583,"[""116471927',""]",
584,"[""885161611106844673',""]",
585,"[""created_at':""]","the backrooms',"
586,"[""1591971871448334336',""]","Islamabad, Pakistan',"
587,"[""70289960',""]","Northern burb of Minneapolis',"
588,"[""553656381',""]",
589,"[""1586195391652933633',""]","Greeley, CO',"
590,"[""1584853641164640257',""]",
591,"[""1160587963',""]","Canada', 🌎"","
592,"[""3088724457',""]","Slovakia',"
593,"[""893437019472379909',""]","Sydney',"
594,"[""21941227',""]","Vancouver BC',"
595,"[""1077444631',""]",
596,"[""1586084792986210305',""]","Fly Over Country',"
597,"[""1547163511859871745',""]",
598,"[""1592291689825275906',""]",
599,"[""894253900492136453',""]","Istanbul, Turkey',"
600,"[""1567651993262620673',""]","Santa Clarita, CA',"
601,"[""1473264589651468290',""]",
602,"[""1457709461561352195',""]",
603,"[""1573057158404608000',""]",
604,"[""2889601750',""]","New England, USA',"
605,"[""1042240161617256448',""]","Small town, Alberta',"
606,"[""205368519',""]","New Westminster BC Canada',"
607,"[""1583748283683463170',""]","Etats-Unis',"
608,"[""1224863882868678656',""]","USA',"
609,"[""2384972428',""]",
610,"[""1594977035415339008',""]",
611,"[""1133881834322968576',""]","Nord, Nord-Pas-de-Calais',"
612,"[""1444471538053492739',""]",
613,"[""1504548753805651980',""]","Agartha, Inner Earth',"
614,"[""1474339206629576707',""]",هرات
615,"[""1590140964420849666',""]","Portland, OR',"
616,"[""1456380251139891210',""]",
617,"[""1282033603891941377',""]","Ontario, Canada',"
618,"[""69634730',""]","Winnipeg',"
619,"[""1483760603978207235',""]",
620,"[""877429184313778180',""]","Heaven&JAPAN',"
621,"[""1574073798462169090',""]",
622,"[""857939407277506561',""]",
623,"[""1351873712031719426',""]",
624,"[""246993396',""]",
625,"[""1042212342208110592',""]",
626,"[""867733000271908864',""]","europe',"
627,"[""1247553100598173697',""]","Georgia',"
628,"[""1096817984',""]","Alberta, Canada',"
629,"[""1584492977694691333',""]","Sindh, Pakistan',"
630,"[""2305332182',""]","Cambridge, MN',"
631,"[""1043900406483619846',""]","Who Knows?!',"
632,"[""1581368778939572227',""]",
633,"[""1697830980',""]",
634,"[""1585938507205419008',""]",
635,"[""1580638498868322305',""]","USA',"
636,"[""2460047262',""]","No DM.Please🚫🇻🇪',"
637,"[""1546856513830109184',""]",
638,"[""1113159183946452993',""]",
639,"[""1396409561326702602',""]",
640,"[""1511753140906991621',""]",
641,"[""1019287244',""]","Federal Capital Territory',"
642,"[""1385133515998703618',""]",
643,"[""1443478031989977089',""]","Quetta',"
644,"[""1108347138138869762',""]",
645,"[""1516107692313563153',""]",
646,"[""73656500',""]","Greece',"
647,"[""1595477436560465925',""]",
648,"[""290122927',""]","Toronto',"
649,"[""1595168652147494929',""]","Sindh, Pakistan',"
650,"[""1586106780475691010',""]",
651,"[""150507047',""]",
652,"[""1520132018352365570',""]",
653,"[""2206614358',""]",
654,"[""1484708410574589954',""]","Las Vegas, NV'}"
655,"[""1587725569663406081',""]",
656,"[""320196121',""]",
657,"[""1393309037815496707',""]",
658,"[""36128870',""]","Portsmouth, England'}"
659,"[""826142894805381120',""]","Pensacola, FL'}"
660,"[""1374763877838163970',""]",Brunei'}
661,"[""897173793545883648',""]",Nigeria'}
662,"[""22560367',""]",Los Angeles'}
663,"[""804198758879784960',""]",
664,"[""1527024176929841156',""]",
665,"[""1587830188754305025',""]",
666,"[""1522236198013616131',""]","São Paulo, Brasil'}"
667,"[""1491759790816743430',""]",
668,"[""1587392009228222464',""]",
669,"[""1585801444271210502',""]",
670,"[""1321590312255541248',""]",
671,"[""1439775770864410637',""]",
