author_id,edit_history_tweet_ids,lang,created_at,text,id,geo
450409352,['1595156964878655489'],en,2022-11-22T20:47:11.000Z,"@danxduran Just said that over elsewhere too
You start by laying the roads and rail
Then colour the maps with the zones
Then the infrastructure
Then let rip
https://t.co/Fz8OZWg6y0",1595156964878655489,
450409352,['1595155732713783301'],en,2022-11-22T20:42:17.000Z,"It is actually Cities Skylines team but Court is WRONG

Cities Skylines (and Government) places the zones (so colour the map), then builds the infrastructure AHEAD OF SODDING TIME, then lets everything else do their magic on the coloured map https://t.co/N89gg7c8FH",1595155732713783301,
450409352,['1595152388247064577'],en,2022-11-22T20:29:00.000Z,RT @EricCrampton: Another reason that the NZ government should be telling the Overseas Investment Office and council planners to make it ve…,1595152388247064577,
450409352,['1595146460869582848'],en,2022-11-22T20:05:27.000Z,Lousy weather ☁️ https://t.co/IPBNVaXqMa,1595146460869582848,{'place_id': '0022e3c837579650'}
450409352,['1595134296095744000'],fr,2022-11-22T19:17:07.000Z,"@twelvebarjosh @TeArawa1971 ah
Fair",1595134296095744000,
450409352,['1595134262230929408'],en,2022-11-22T19:16:58.000Z,"@Trabaq So Nicole (the CEO) being absolutely bloody useless as always and it shows

Why the hell the Board and the Minister keeps her there I be damned to know

NZTA's safety program is backsliding under her watch and its getting people killed",1595134262230929408,
450409352,['1595134078918963200'],en,2022-11-22T19:16:15.000Z,"@Jaksnzz @jobartleynz Nothing
That is the problem and equally the problem the Councillors are missing

Yes the Rail lines are getting upgrades
But the point is Lambert is being that incompetent there are no redundancy measures in place

Where are the bus lanes
Where are the cycle lanes
Answer? nowhere",1595134078918963200,
450409352,['1595133738689605632'],en,2022-11-22T19:14:54.000Z,"Whatever @AndrewLittleMP 
Go resign to the backbench and let someone else more competent take over https://t.co/ZjqgoAK9eU",1595133738689605632,
450409352,['1595133592732020736'],en,2022-11-22T19:14:19.000Z,"@twelvebarjosh @TeArawa1971 My opinion
anyone is fair game in the democratic realm",1595133592732020736,
450409352,['1595133531256016896'],en,2022-11-22T19:14:04.000Z,"Luxon proves he is not only beyond his depth but an utter fuckwit and a dangerous one at that 

https://t.co/p69O2jIrXw",1595133531256016896,
450409352,['1595133218272907266'],en,2022-11-22T19:12:50.000Z,@Trabaq Over what this time?,1595133218272907266,
450409352,['1595133171577720832'],en,2022-11-22T19:12:38.000Z,"Liam with an honest assessment

Until the unofficial 4th branch of Government is nuked out of Wellington nothing will ever improve

It is just lost in endless business cases that should be honestly illegal 

You dont need them once a strategic plan and long term plan are written https://t.co/Uhw9R1Ou5X",1595133171577720832,
450409352,['1595132421506093056'],en,2022-11-22T19:09:40.000Z,@TeArawa1971 Stupid as Stupid does,1595132421506093056,
450409352,['1595132270267969536'],und,2022-11-22T19:09:04.000Z,@biggsintweets IKR https://t.co/7jwMWJC5Ah,1595132270267969536,
