geo,edit_history_tweet_ids,author_id,lang,text,id,created_at
{'place_id': '4ec01c9dbc693497'},['1595194962890706947'],1548793364128178178,en,"@ElectrifyAm Thanks team!  Keep it up, we are counting on you.",1595194962890706947,2022-11-22T23:18:11.000Z
{'place_id': '4ec01c9dbc693497'},['1595181351162236932'],1548793364128178178,und,@BeardedTesla @lensky_vlad 😆,1595181351162236932,2022-11-22T22:24:05.000Z
{'place_id': '4ec01c9dbc693497'},['1595180302296829955'],1548793364128178178,und,@Defnotaspoof @luckygoooon @trav_is_jackson @j_grieshaber @MITeslaGuy 🤣 https://t.co/Pze77flquZ,1595180302296829955,2022-11-22T22:19:55.000Z
{'place_id': '4ec01c9dbc693497'},['1595176974393249792'],1548793364128178178,en,@Defnotaspoof @luckygoooon @trav_is_jackson @j_grieshaber @MITeslaGuy But did it really happen? 🤔,1595176974393249792,2022-11-22T22:06:42.000Z
{'place_id': '4ec01c9dbc693497'},['1595176782159912961'],1548793364128178178,en,@luckygoooon @Defnotaspoof @trav_is_jackson @j_grieshaber @MITeslaGuy Only got mine to work 1x and it stopped halfway up the parking lot..  don't trust it enough especially with other people driving/walking.,1595176782159912961,2022-11-22T22:05:56.000Z
{'place_id': '4ec01c9dbc693497'},['1595176534700363776'],1548793364128178178,en,@PovilasRedko @AustinJUVA @DirtyTesLa @WholeMarsBlog @BeardedTesla @BLKMDL3 30% highway 70% city is my commute.  All but 3 places it works flawlessly.  All 3 are known and I just drive past and re-engage.,1595176534700363776,2022-11-22T22:04:57.000Z
{'place_id': '4ec01c9dbc693497'},['1595156853687988226'],1548793364128178178,en,@luckygoooon @trav_is_jackson @j_grieshaber @Defnotaspoof @MITeslaGuy Bummer. Hope the goon mobile is back in form soon.,1595156853687988226,2022-11-22T20:46:45.000Z
{'place_id': '4ec01c9dbc693497'},['1595154061158121473'],1548793364128178178,en,@trav_is_jackson @luckygoooon @j_grieshaber @Defnotaspoof @MITeslaGuy Yep inquiring minds want to know.,1595154061158121473,2022-11-22T20:35:39.000Z
{'place_id': '4ec01c9dbc693497'},['1595134255335866369'],1548793364128178178,en,@ChadShryock1 @WholeMarsBlog Camera button on the top right of the screen.,1595134255335866369,2022-11-22T19:16:57.000Z
{'place_id': '4ec01c9dbc693497'},['1595134077304463361'],1548793364128178178,en,"@TeslaPatriot @WholeMarsBlog Agree, more times than not I have to stop it from pulling out infront of oncoming traffic.  Think the camera location prohibits a clear view especially when the intersection is not at 90 degrees.",1595134077304463361,2022-11-22T19:16:14.000Z
{'place_id': '4ec01c9dbc693497'},['1595133408581423104'],1548793364128178178,en,@AustinJUVA @WholeMarsBlog @DirtyTesLa @BeardedTesla @BLKMDL3 Don't think you'll be disappointed.   Just buy and keep it till the wheels fall off.,1595133408581423104,2022-11-22T19:13:35.000Z
{'place_id': '4ec01c9dbc693497'},['1595125005171687425'],1548793364128178178,en,"@WholeMarsBlog @AustinJUVA @DirtyTesLa @BeardedTesla @BLKMDL3 Yes ryzen is buttery smooth. I'd opt for one of them and you'll also get the latest tech, lithium 12v, double pane glass, etc...

If you don't have a city commute then still with AP. It rocks, EAP is next level.",1595125005171687425,2022-11-22T18:40:11.000Z
{'place_id': '4ec01c9dbc693497'},['1595121293724385281'],1548793364128178178,en,@Ominsey @WholeMarsBlog @AustinJUVA @DirtyTesLa @BeardedTesla @BLKMDL3 Agree amazing how far it's come in just a few short years.,1595121293724385281,2022-11-22T18:25:27.000Z
{'place_id': '4ec01c9dbc693497'},['1595119112875048961'],1548793364128178178,en,"@AustinJUVA @DirtyTesLa @WholeMarsBlog @BeardedTesla @BLKMDL3 I'd buy a used one and get FSD. I've had fsd beta for 5 months and 8k miles. My commute is over 76 miles each way. Fsd eliminated 98% of my active drive/ commute. 

Game changer!  100 worth it.",1595119112875048961,2022-11-22T18:16:47.000Z
{'place_id': '4ec01c9dbc693497'},['1595106998080634880'],1548793364128178178,en,"@PayDBoardMan @ElectrifyAm @itskyleconner @tommolog @brandenflasch Yep charging just plain sucks for non-tesla owners. Did a 1,000 road trip using only @ElectrifyAm and the downtime is remarkable. Sorry but stats don't lie.",1595106998080634880,2022-11-22T17:28:38.000Z
{'place_id': '4ec01c9dbc693497'},['1595092452142096385'],1548793364128178178,en,"Interesting that @GM
Is repairing @Tesla vehicles.  

I take issue with ""crappy"" service. The 1x I've required service it was quick, fast, and pleasant.  23k miles and only 1 stop for service. (Minor items to install aftermarket oem items)

App is easy!
https://t.co/yA3WKYBjpZ",1595092452142096385,2022-11-22T16:30:50.000Z
