text,author_id,lang,created_at,id,edit_history_tweet_ids
"RT @PamKeithFL: It’s not like we didn’t know. 

White supremacy is incompatible with public service.",1209216199,en,2022-11-22T17:53:32.000Z,1595113261690519552,['1595113261690519552']
"RT @RawStory: Ex-Trump aide tells The View she doubts Kevin McCarthy will make it to Speaker

https://t.co/1DSpGEdyA7",1209216199,en,2022-11-22T17:53:00.000Z,1595113128039415808,['1595113128039415808']
"RT @MeidasTouch: —Shutting down government to end Social Security and Medicare
—Investigations into Hunter and Dr. Fauci
—Impeachment of Pr…",1209216199,en,2022-11-22T17:52:47.000Z,1595113076944437248,['1595113076944437248']
"RT @InspiringU2: Interesting Theory.
This question should 
be discussed further, 
and in detail.

#LizCheney",1209216199,en,2022-11-22T17:51:27.000Z,1595112740418650113,['1595112740418650113']
"RT @seungminkim: ""The wedding of Naomi Biden and Peter is a private one.  The family — it’s a family event.  And Naomi and Peter have asked…",1209216199,en,2022-11-22T17:50:54.000Z,1595112600269770752,['1595112600269770752']
"RT @Teri_Kanefield: ""When someone shows you who they are, believe them the first time."" (Maya Angelo)

Maybe we should take Musk at his wor…",1209216199,en,2022-11-22T17:50:29.000Z,1595112497018966016,['1595112497018966016']
RT @realTuckFrumper: Rick Scott asked for an 'emergency donation' to Herschel Walker — and kept most of the money for the NRSC https://t.co…,1209216199,en,2022-11-22T17:49:08.000Z,1595112155237711873,['1595112155237711873']
"RT @mmpadellan: Good morning and Happy Tuesday to everyone who agrees that Richard Fierro, Thomas Jane, and a drag performer in heels have…",1209216199,en,2022-11-22T17:49:01.000Z,1595112126003437568,['1595112126003437568']
"RT @NWPinPDX: This gay man will CONTINUE standing shoulder to shoulder with women, minorities and anyone with a heart to see an end to Amer…",1209216199,en,2022-11-22T17:48:51.000Z,1595112086291767296,['1595112086291767296']
"RT @itsJeffTiedrich: holy fucking shit, it's Tuesday and right now in four separate courtrooms across the country, Trump lawyers are pleadi…",1209216199,en,2022-11-22T17:48:11.000Z,1595111919308124160,['1595111919308124160']
"RT @jrpsaki: This Club Q shooting should be a reminder that members of the LGBTQ+ community continue to be targeted by hate, by judgment an…",1209216199,en,2022-11-22T17:47:47.000Z,1595111818699366402,['1595111818699366402']
"RT @ReverendWarnock: Let’s win one more time, Rome, GA! https://t.co/WxvoyD0Lip",1209216199,en,2022-11-22T17:47:03.000Z,1595111632342224896,['1595111632342224896']
"RT @DanaSan68018976: Marjorie Taylor Greene wants to interview Democrats..they should all answer ""I don't recall"" to all questions.",1209216199,en,2022-11-22T17:46:38.000Z,1595111527212011521,['1595111527212011521']
"RT @RpsAgainstTrump: Thanks to Democrats maintaining control of the Senate, Lindsey Graham will not become The Chairman of the Senate Judic…",1209216199,en,2022-11-22T17:46:26.000Z,1595111477941501952,['1595111477941501952']
@WalshFreedom Yep they are...,1209216199,en,2022-11-22T17:46:05.000Z,1595111390519648256,['1595111390519648256']
"RT @WalshFreedom: Always remember, bullies are cowards.",1209216199,en,2022-11-22T17:45:37.000Z,1595111270071484417,['1595111270071484417']
"RT @ReverendWarnock: I have spent my life serving the public. Meanwhile, my opponent has demonstrated that he's not ready to serve or repre…",1209216199,en,2022-11-22T17:45:01.000Z,1595111120976883712,['1595111120976883712']
