text,lang,id,author_id,geo,edit_history_tweet_ids,created_at
"@DavidSavona I always say, as long as you have breakfast, doesn’t matter when you start!!!",en,1593059646746824706,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1593059646746824706'],2022-11-17T01:53:12.000Z
@BrettThackABC27 @DopplerDan Worse,en,1593056184357253121,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1593056184357253121'],2022-11-17T01:39:26.000Z
@Haley_nhl19 Blind or paid off,en,1592363278671687680,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1592363278671687680'],2022-11-15T03:46:04.000Z
@Eagles @CGJXXIII Let’s pound the ball now.,en,1592360091030016000,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1592360091030016000'],2022-11-15T03:33:24.000Z
@67shaggy @Beardaknowledge @DSM_Media Pathetic defense and no running,en,1592354140273152000,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1592354140273152000'],2022-11-15T03:09:46.000Z
"@ochocinco Abandoned the running game, and not sure why",en,1592350144846237697,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1592350144846237697'],2022-11-15T02:53:53.000Z
@Beardaknowledge @DSM_Media Is Sanders injured? Where’s the running game? Too much one dimensional.,en,1592349990407798820,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1592349990407798820'],2022-11-15T02:53:16.000Z
@Haley_nhl19 Is Sanders injured? Where’s the damn run?,en,1592347736195878913,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1592347736195878913'],2022-11-15T02:44:19.000Z
@__KerryLyn130 Tackling I thought was fundamental?,en,1592331250173607936,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1592331250173607936'],2022-11-15T01:38:48.000Z
@DerbyCityPhil Same here. MSRP is great here in Pa. Selection is the problem.,en,1592295381441908737,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1592295381441908737'],2022-11-14T23:16:17.000Z
@lorraine_luv1 Pizza,sv,1592295067372617728,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1592295067372617728'],2022-11-14T23:15:02.000Z
"@Haley_nhl19 I’m good with 27, but our defense has to be better and stop the run.",en,1592294968974266368,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1592294968974266368'],2022-11-14T23:14:38.000Z
"@TOMRUSSELLCBS21 No, I have about 2 more, depending on rain. Yard hasn’t looked this good since May!",en,1592294574508355584,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1592294574508355584'],2022-11-14T23:13:04.000Z
@JacquiJerasTV @weatherchannel Can’t wait here in central Pa!,en,1592293850865106944,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1592293850865106944'],2022-11-14T23:10:12.000Z
"@NBCSPhilly In the house and on the bench. Thank you for the majority of the 2017 season, but…",en,1592293473197379585,1206959168629985286,,['1592293473197379585'],2022-11-14T23:08:42.000Z
@RobustoBabe @CalvinThomps99 Happy Birthday!!! 💨,en,1592293023261818880,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1592293023261818880'],2022-11-14T23:06:54.000Z
@24tog Eagles pjs?,en,1592292849441439745,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1592292849441439745'],2022-11-14T23:06:13.000Z
@shamus_clancy Foot on the pedal all night!!!,en,1592285627403620352,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1592285627403620352'],2022-11-14T22:37:31.000Z
"@Eric_Fink It’s that time of year! Still remember the October storm, first time realizing that fires in the winter with snow on the ground are the best!!!",en,1592285497250189314,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1592285497250189314'],2022-11-14T22:37:00.000Z
@Eric_Fink I’ll take whatever we can get. Been a little dry.,en,1592284888140578817,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1592284888140578817'],2022-11-14T22:34:35.000Z
@ABeerAndAGame @TroegsBeer It’s my Christmas morning tradition,en,1592181744912027649,1206959168629985286,,['1592181744912027649'],2022-11-14T15:44:43.000Z
@ABeerAndAGame @TroegsBeer Much better than normal Mad Elf,en,1592177747048398848,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1592177747048398848'],2022-11-14T15:28:50.000Z
@abbythepilot @brandon_marsh22 @Phillies Absolutely!,en,1591480399166857218,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1591480399166857218'],2022-11-12T17:17:50.000Z
@abbythepilot @brandon_marsh22 @Phillies Another player on the @Phillies who gets it! Love that team!!! Can’t wait till next year!,en,1591472239966552064,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1591472239966552064'],2022-11-12T16:45:24.000Z
