,author_id,lang,id,text,edit_history_tweet_ids,created_at
11,25029937,en,1580664926418321408,"Nancy Malcun has a show on 10/15/2022 at 01:15 PM @ Flying Fish Brewing Co. in Somerdale, NJ https://t.co/mVocroUyUu #concert https://t.co/QztZUZGqPo",['1580664926418321408'],2022-10-13T21:01:00.000Z
12,25029937,en,1580326162022400001,"Nancy Malcun has a show on 10/14/2022 at 05:00 PM @ Terra Nonno Winery in Millville, NJ https://t.co/9wDS7JOzFb #concert https://t.co/QztZUZpnNo",['1580326162022400001'],2022-10-12T22:34:52.000Z
13,25029937,en,1578541384880963584,"Nancy Malcun has a show on 10/09/2022 at 06:00 PM @ Harbaugh Village in Harrison Township, NJ https://t.co/oES7SkU3pr #concert https://t.co/QztZUZGqPo",['1578541384880963584'],2022-10-08T00:22:48.000Z
14,25029937,en,1577475648871927808,"Nancy Malcun has a show on 10/06/2022 at 06:00 PM @ Annata Wine Bar in Hammonton, NJ https://t.co/8Ds36wskF8 #concert https://t.co/QztZUZoPXQ",['1577475648871927808'],2022-10-05T01:47:57.000Z
15,25029937,en,1574557435271913472,"Nancy Malcun has a show on 09/28/2022 at 04:30 PM @ Exit Zero Filling Station in Cape May, NJ https://t.co/jXzE6hBncN #concert https://t.co/QztZUZGqPo",['1574557435271913472'],2022-09-27T00:32:01.000Z
16,25029937,en,1573047510213562370,"Nancy Malcun has a show on 09/24/2022 at 03:00 PM @ Cape May Brewing Co. Tasting Room &amp; Brewtique in West Cape May, NJ https://t.co/CaAUqn8nNO #concert https://t.co/QztZUZoPXQ",['1573047510213562370'],2022-09-22T20:32:06.000Z
17,25029937,en,1572818009781161986,"Nancy Malcun has a show on 09/23/2022 at 04:30 PM @ Terra Nonno Winery in Millville, NJ https://t.co/r4z4FVVH2L #concert https://t.co/QztZUZoPXQ",['1572818009781161986'],2022-09-22T05:20:09.000Z
18,25029937,en,1572360204368621572,"Nancy Malcun has a show on 09/22/2022 at 06:30 PM @ Cinder Bar - Cross Keys in Monroe Township, NJ https://t.co/yRb2j19Cy6 #concert https://t.co/QztZUZpnNo",['1572360204368621572'],2022-09-20T23:01:00.000Z
19,25029937,en,1571975247129108495,"Nancy Malcun has a show on 09/21/2022 at 04:30 PM @ Exit Zero Filling Station in Cape May, NJ https://t.co/Kn9QVErSwf #concert https://t.co/QztZUZoPXQ",['1571975247129108495'],2022-09-19T21:31:19.000Z
20,25029937,en,1570471903797690368,"Nancy Malcun has a show on 09/17/2022 at 01:00 PM @ Dalton Farms in Swedesboro, NJ https://t.co/2lBRJ2VkRV #concert https://t.co/QztZUZoPXQ",['1570471903797690368'],2022-09-15T17:57:34.000Z
21,25029937,en,1569851293866360838,"Nancy Malcun has a show on 09/15/2022 at 06:00 PM @ Annata Wine Bar in Hammonton, NJ https://t.co/aolpV2lyPs #concert https://t.co/QztZUZoPXQ",['1569851293866360838'],2022-09-14T00:51:29.000Z
22,25029937,en,1569440604748419072,"Nancy Malcun has a show on 09/14/2022 at 04:30 PM @ Exit Zero Filling Station in Cape May, NJ https://t.co/XCDcqg8Mka #concert https://t.co/QztZUZpnNo",['1569440604748419072'],2022-09-12T21:39:33.000Z
23,25029937,en,1568262393901514752,"Nancy Malcun has a show on 09/11/2022 at 10:00 AM @ McGettigan's 19th Hole Tavern in Absecon, NJ https://t.co/yaKx7ssJlB #concert https://t.co/QztZUZpnNo",['1568262393901514752'],2022-09-09T15:37:46.000Z
24,25029937,en,1567969462065799168,"Nancy Malcun has a show on 09/14/2022 at 04:30 PM @ Exit Zero Filling Station in Cape May, NJ https://t.co/Nz03tVn7J8 #concert https://t.co/QztZUZoPXQ",['1567969462065799168'],2022-09-08T20:13:45.000Z
25,25029937,en,1567682980092514306,"Nancy Malcun has a show on 09/09/2022 at 06:00 PM @ Andre's Wine Bar &amp; Grill in Brigantine, NJ https://t.co/Lb7Di1lr7t #concert https://t.co/QztZUZoPXQ",['1567682980092514306'],2022-09-08T01:15:23.000Z
26,25029937,en,1566951779191123969,"Nancy Malcun has a show on 09/07/2022 at 05:00 PM @ Exit Zero Filling Station in Cape May, NJ https://t.co/XQvwPDdK5z #concert https://t.co/QztZUZpnNo",['1566951779191123969'],2022-09-06T00:49:51.000Z
27,25029937,en,1566211903424237568,"Nancy Malcun has a show on 09/05/2022 at 06:15 PM @ Nola's Bar &amp; Lounge in Atlantic City, NJ https://t.co/K886quTf6w #concert https://t.co/QztZUZoPXQ",['1566211903424237568'],2022-09-03T23:49:51.000Z
28,25029937,en,1565777067496689665,"Nancy Malcun has a show on 09/04/2022 at 12:00 PM @ No.79 Restaurant Bar &amp; Liquor Store in Hammonton, NJ https://t.co/6UFn80WRDv #concert https://t.co/QztZUZoPXQ",['1565777067496689665'],2022-09-02T19:01:58.000Z
29,25029937,en,1565485562848579584,"Nancy Malcun has a show on 09/03/2022 at 06:00 PM @ Tango’s Lounge in Atlantic City, NJ https://t.co/FBDG7FjgmP #concert https://t.co/QztZUZoPXQ",['1565485562848579584'],2022-09-01T23:43:38.000Z
30,25029937,en,1565107371424337920,"Nancy Malcun has a show on 09/02/2022 at 04:30 PM @ Gaul &amp; Co. Malt House Rockledge in Rockledge, PA https://t.co/BCY5kyOpeA #concert https://t.co/QztZUZoPXQ",['1565107371424337920'],2022-08-31T22:40:50.000Z
31,25029937,en,1564759779326705665,"Nancy Malcun has a show on 09/01/2022 at 05:30 PM @ ICONA Diamond Beach - Wildwood Crest Beachfront Hotel in Wildwood Crest, NJ https://t.co/pkswFhe7mo #concert https://t.co/QztZUZoPXQ",['1564759779326705665'],2022-08-30T23:39:37.000Z
32,25029937,en,1564382885209161728,"Nancy Malcun has a show on 08/31/2022 at 05:00 PM @ Exit Zero Filling Station in Cape May, NJ https://t.co/2j7tzMLLgf #concert https://t.co/QztZUZoPXQ",['1564382885209161728'],2022-08-29T22:41:59.000Z
33,25029937,en,1562939697000656898,"Nancy Malcun has a show on 08/27/2022 at 06:00 PM @ No.79 Restaurant Bar &amp; Liquor Store in Hammonton, NJ https://t.co/91zuzXevQu #concert https://t.co/QztZUZGqPo",['1562939697000656898'],2022-08-25T23:07:16.000Z
