lang,geo,edit_history_tweet_ids,text,author_id,id,created_at
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.009781, 40.712582]}, 'place_id': '01a9a39529b27f36'}",['1597064712642236416'],Cleared: Incident on #ELine from World Trade Center to Jamaica - 179 St,52272942,1597064712642236416,2022-11-28T03:07:54.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.99219, 40.75002]}, 'place_id': '01a9a39529b27f36'}",['1597063456049471488'],Updated: Special Event on #MadisonSquareGarden https://t.co/JRU6r4vp19,52272942,1597063456049471488,2022-11-28T03:02:54.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.866256, 40.87785]}, 'place_id': '002e24c6736f069d'}",['1597063453801226240'],Updated: Construction on #2Line SB from Gun Hill Rd to E 180 St https://t.co/tuMFj4AtIg,52272942,1597063453801226240,2022-11-28T03:02:54.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.845806, 40.756717]}, 'place_id': '00c39537733fa112'}",['1597063452757200897'],Updated: Special Event on #CitiField https://t.co/3Z1W7ZlYF4,52272942,1597063452757200897,2022-11-28T03:02:53.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.076049, 40.64352]}, 'place_id': '00c55f041e27dc51'}",['1597063450299346944'],Incident on #StgeorgeFerryRouteAndStgeorgeTMFerryRoute Both directions at St George Ferry Terminal https://t.co/LHHWnDcaqu,52272942,1597063450299346944,2022-11-28T03:02:53.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.845806, 40.756717]}, 'place_id': '00c39537733fa112'}",['1597063447610626048'],Cleared: Special Event on #CitiField,52272942,1597063447610626048,2022-11-28T03:02:52.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.99219, 40.75002]}, 'place_id': '01a9a39529b27f36'}",['1597063445823729665'],Cleared: Special Event on #MadisonSquareGarden,52272942,1597063445823729665,2022-11-28T03:02:52.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.980393, 40.759902]}, 'place_id': '01a9a39529b27f36'}",['1597063444804808704'],Cleared: Special Event on #RadioCityMusicHall,52272942,1597063444804808704,2022-11-28T03:02:51.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.866256, 40.87785]}, 'place_id': '002e24c6736f069d'}",['1597063443852496897'],Cleared: Construction on #2Line SB from Gun Hill Rd to E 180 St,52272942,1597063443852496897,2022-11-28T03:02:51.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.910318, 40.775832]}, 'place_id': '00c39537733fa112'}",['1597063442980274176'],Cleared: Incident on #Q69Bus Both directions from Ditmars Bl/31 St to Ditmars Bl/Steinway St,52272942,1597063442980274176,2022-11-28T03:02:51.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.008132, 40.654003]}, 'place_id': '011add077f4d2da3'}",['1597062696952008704'],Incident on #I278 WB at Exit   - 38th Street; Sunset Park Industrial Park https://t.co/lzLBmSiPNK,52272942,1597062696952008704,2022-11-28T02:59:53.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.03321, 40.610165]}, 'place_id': '011add077f4d2da3'}",['1597058949718712321'],Cleared: Incident on #VerrazanonarrowsBridge EB at Brooklyn Side,52272942,1597058949718712321,2022-11-28T02:45:00.000Z
